지점,일시,기온(℃),0.1mm 일 누적 강수량(mm),0.5mm 일 누적 강수량(mm),풍향(16방위),풍속(m/s),상대습도(%),현지기압(hPa),해면기압(hPa),일 누적 일사(hr),일 누적 일조(MJ/m2)
1563,2021-02-01 00:10,6.1,,0,123.7,1.1,65.9,,,,
1563,2021-02-01 00:20,6,,0,127.6,.4,65.3,,,,
1563,2021-02-01 00:30,6.2,,0,179.6,1.5,64.9,,,,
1563,2021-02-01 00:40,5.8,,0,129.3,2.1,68.4,,,,
1563,2021-02-01 00:50,5.6,,0,180.7,.6,69.3,,,,
1563,2021-02-01 01:00,5.4,,0,246,0,70.7,,,,
1563,2021-02-01 01:10,4.8,,0,213.3,.5,73.5,,,,
1563,2021-02-01 01:20,5.1,,0,124.1,.1,74.7,,,,
1563,2021-02-01 01:30,4.9,,0,342.4,0,75.6,,,,
1563,2021-02-01 01:40,4.5,,0,26,.4,85.8,,,,
1563,2021-02-01 01:50,4.4,,0,93.8,.5,87.8,,,,
1563,2021-02-01 02:00,4.5,,0,47.1,0,87.8,,,,
1563,2021-02-01 02:10,4.5,,0,135.7,0,87.8,,,,
1563,2021-02-01 02:20,5.2,,0,162,.6,87.8,,,,
1563,2021-02-01 02:30,5.5,,0,147.3,0,85.6,,,,
1563,2021-02-01 02:40,5.9,,0,116.3,0,83.3,,,,
1563,2021-02-01 02:50,5.8,,0,312.8,0,81.9,,,,
1563,2021-02-01 03:00,5.5,,0,309.7,1.2,81.2,,,,
1563,2021-02-01 03:10,6,,0,328.7,.9,82.6,,,,
1563,2021-02-01 03:20,6.2,,0,267.1,.7,82.2,,,,
1563,2021-02-01 03:30,6.3,,0,309,.8,83,,,,
1563,2021-02-01 03:40,6.3,,0,289.3,1.3,84,,,,
1563,2021-02-01 03:50,6.3,,0,273.8,1.1,85.2,,,,
1563,2021-02-01 04:00,5.9,,0,233.7,.3,85.5,,,,
1563,2021-02-01 04:10,5.7,,0,228.8,0,84.7,,,,
1563,2021-02-01 04:20,5.7,,0,311.4,0,86.1,,,,
1563,2021-02-01 04:30,5.7,,0,232,.3,87.8,,,,
1563,2021-02-01 04:40,5.8,,0,278.4,0,87.8,,,,
1563,2021-02-01 04:50,5.9,,0,269.9,.2,87.8,,,,
1563,2021-02-01 05:00,6,,0,228.1,.5,87.8,,,,
1563,2021-02-01 05:10,5.9,,0,309,.6,87.8,,,,
1563,2021-02-01 05:20,6,,0,260.8,.1,87.8,,,,
1563,2021-02-01 05:30,5.9,,0,279.1,0,87.8,,,,
1563,2021-02-01 05:40,5.8,,0,268.5,0,87.8,,,,
1563,2021-02-01 05:50,5.7,,0,211.6,0,87.8,,,,
1563,2021-02-01 06:00,5.7,,0,187,.4,87.8,,,,
1563,2021-02-01 06:10,5.6,,0,207.4,.5,87.8,,,,
1563,2021-02-01 06:20,5.4,,0,341,0,87.8,,,,
1563,2021-02-01 06:30,5.4,,0,198.9,0,87.8,,,,
1563,2021-02-01 06:40,5.4,,0,119.5,.3,87.8,,,,
1563,2021-02-01 06:50,5.6,,0,115.3,0,87.8,,,,
1563,2021-02-01 07:00,5.5,,0,288.9,.2,87.8,,,,
1563,2021-02-01 07:10,5.4,,0,209.1,1,87.8,,,,
1563,2021-02-01 07:20,5.4,,0,177.1,1,87.8,,,,
1563,2021-02-01 07:30,5.5,,0,188.7,0,87.8,,,,
1563,2021-02-01 07:40,5.4,,0,259.8,.3,87.8,,,,
1563,2021-02-01 07:50,5.4,,0,216.2,.5,87.8,,,,
1563,2021-02-01 08:00,5.4,,0,251,.6,87.8,,,,
1563,2021-02-01 08:10,5.5,,0,247.8,.4,87.8,,,,
1563,2021-02-01 08:20,5.5,,0,241.8,.4,87.8,,,,
1563,2021-02-01 08:30,5.5,,0,233,.6,87.8,,,,
1563,2021-02-01 08:40,5.6,,0,239,1.1,87.8,,,,
1563,2021-02-01 08:50,5.6,,0,234.8,1.5,87.8,,,,
1563,2021-02-01 09:00,5.7,,0,219.3,1.2,87.8,,,,
1563,2021-02-01 09:10,5.4,,0,306.2,1.5,87.8,,,,
1563,2021-02-01 09:20,5.4,,0,277.7,1.8,87.8,,,,
1563,2021-02-01 09:30,5.5,,0,202.4,.3,87.8,,,,
1563,2021-02-01 09:40,5.6,,0,247.8,1.1,87.8,,,,
1563,2021-02-01 09:50,5.9,,0,191.6,1.3,87.8,,,,
1563,2021-02-01 10:00,6,,0,207.4,.9,87.8,,,,
1563,2021-02-01 10:10,6.2,,0,253.8,1.3,87.8,,,,
1563,2021-02-01 10:20,6.3,,0,205.6,1,87.8,,,,
1563,2021-02-01 10:30,6.4,,0,247.1,1.2,87.8,,,,
1563,2021-02-01 10:40,6.5,,0,207.7,1.6,87.8,,,,
1563,2021-02-01 10:50,6.4,,0,178.9,2.7,87.8,,,,
1563,2021-02-01 11:00,6.5,,0,249.6,2.6,87.8,,,,
1563,2021-02-01 11:10,6.7,,0,303.7,2.7,87.8,,,,
1563,2021-02-01 11:20,6.8,,0,183.8,2.4,87.8,,,,
1563,2021-02-01 11:30,6.9,,0,231.3,2.1,87.8,,,,
1563,2021-02-01 11:40,7.1,,0,284.4,1.9,87.8,,,,
1563,2021-02-01 11:50,7.3,,0,233.7,2.5,85.7,,,,
1563,2021-02-01 12:00,8.1,,0,235.8,4,83.7,,,,
1563,2021-02-01 12:10,7.4,,0,238,2.6,79.6,,,,
1563,2021-02-01 12:20,7.3,,0,194,2.7,81.9,,,,
1563,2021-02-01 12:30,7.9,,0,232.3,3.3,82.3,,,,
1563,2021-02-01 12:40,7.9,,0,239,2.6,81.8,,,,
1563,2021-02-01 12:50,7.4,,0,182.8,2,81.3,,,,
1563,2021-02-01 13:00,7.7,,0,202.8,2.2,81.8,,,,
1563,2021-02-01 13:10,7.8,,0,272.8,3.1,79.9,,,,
1563,2021-02-01 13:20,7.6,,0,226,3.8,78.9,,,,
1563,2021-02-01 13:30,7.3,,0,228.5,.9,79.5,,,,
1563,2021-02-01 13:40,7.6,,0,279.4,2.9,79,,,,
1563,2021-02-01 13:50,7.4,,0,281.2,3.6,79.6,,,,
1563,2021-02-01 14:00,6.4,,0,298.1,3.5,82.3,,,,
1563,2021-02-01 14:10,6,,0,293.9,2.9,85.7,,,,
1563,2021-02-01 14:20,6,,0,280.8,4,86.9,,,,
1563,2021-02-01 14:30,6,,0,260.1,3.2,85.8,,,,
1563,2021-02-01 14:40,5.9,,0,266.8,4.1,85.9,,,,
1563,2021-02-01 14:50,6,,0,266.4,1.1,84.8,,,,
1563,2021-02-01 15:00,6.3,,0,250.3,2.1,84.2,,,,
1563,2021-02-01 15:10,6.4,,0,280.1,1.4,83.1,,,,
1563,2021-02-01 15:20,6.4,,0,266.8,1.5,82.5,,,,
1563,2021-02-01 15:30,6.5,,0,169.8,1.2,81.4,,,,
1563,2021-02-01 15:40,6.3,,0,241.8,1.7,81.5,,,,
1563,2021-02-01 15:50,6.2,,0,257.3,3.6,82.1,,,,
1563,2021-02-01 16:00,6,,0,241.5,1.5,82.4,,,,
1563,2021-02-01 16:10,5.8,,0,260.1,2.9,83.2,,,,
1563,2021-02-01 16:20,5.9,,0,238.7,1.8,83.9,,,,
1563,2021-02-01 16:30,6,,0,299.5,1.3,83.5,,,,
1563,2021-02-01 16:40,5.6,,0,297.7,1.8,84,,,,
1563,2021-02-01 16:50,5.4,,0,288.2,1.6,84.4,,,,
1563,2021-02-01 17:00,5.3,,0,296.7,1.4,85.4,,,,
1563,2021-02-01 17:10,5.1,,0,308.3,1.1,86.4,,,,
1563,2021-02-01 17:20,5,,0,288.2,1,87.1,,,,
1563,2021-02-01 17:30,5,,0,309.3,1,87.8,,,,
1563,2021-02-01 17:40,5,,0,287.2,1.4,87.8,,,,
1563,2021-02-01 17:50,4.9,,0,294.6,1.6,87.8,,,,
1563,2021-02-01 18:00,4.1,,0,353.3,1.9,86.4,,,,
1563,2021-02-01 18:10,3.7,,0,345.9,1.6,83.3,,,,
1563,2021-02-01 18:20,3.4,,0,314.2,2.4,78.8,,,,
1563,2021-02-01 18:30,2.9,,0,324.1,2.2,71,,,,
1563,2021-02-01 18:40,2.7,,0,322,3.7,65.3,,,,
1563,2021-02-01 18:50,2.6,,0,313.9,2.6,58,,,,
1563,2021-02-01 19:00,2.3,,0,316.4,4.5,54.7,,,,
1563,2021-02-01 19:10,2.1,,0,353.6,2.8,54.6,,,,
1563,2021-02-01 19:20,1.7,,0,327.3,1.7,57.1,,,,
1563,2021-02-01 19:30,1.5,,0,326.9,3.2,60.1,,,,
1563,2021-02-01 19:40,1.2,,0,329,2.6,62.7,,,,
1563,2021-02-01 19:50,1.1,,0,346.2,2.3,65.6,,,,
1563,2021-02-01 20:00,.8,,0,292.1,1.4,69.4,,,,
1563,2021-02-01 20:10,.6,,0,322.3,1.4,72.6,,,,
1563,2021-02-01 20:20,.5,,0,352.2,.1,74,,,,
1563,2021-02-01 20:30,.4,,0,334.6,1.9,72.6,,,,
1563,2021-02-01 20:40,.5,,0,306.9,4.2,61.6,,,,
1563,2021-02-01 20:50,.5,,0,338.5,1,47.9,,,,
1563,2021-02-01 21:00,.4,,0,264,2.5,43.8,,,,
1563,2021-02-01 21:10,.2,,0,330.4,.1,41.7,,,,
1563,2021-02-01 21:20,0,,0,326.2,0,42.5,,,,
1563,2021-02-01 21:30,-.3,,0,314.9,3.1,45.3,,,,
1563,2021-02-01 21:40,-.2,,0,320.2,2.6,46.9,,,,
1563,2021-02-01 21:50,-.4,,0,316.7,2.8,51.1,,,,
1563,2021-02-01 22:00,-1,,0,341.3,4.5,60.2,,,,
1563,2021-02-01 22:10,-1.5,,0,319.5,5,67.6,,,,
1563,2021-02-01 22:20,-1.8,,0,343.1,3.6,70.8,,,,
1563,2021-02-01 22:30,-2.1,,0,1.4,2.8,67.4,,,,
1563,2021-02-01 22:40,-2.4,,0,306.9,4.5,64.2,,,,
